id,amount_of_chicken,amount_of_feeding,ammonia,temperature,humidity,light_intensity,noise,total_egg_production
535,2766,177,14.4,27.9,46.1,367,211,2026
536,2616,178,16.5,31.4,54.5,338,101,1923
537,2779,192,16.4,32.2,53.2,269,81,2074
538,2684,167,13.0,27.8,53.7,372,93,2104
539,2658,181,14.9,29.8,49.4,310,79,2024
540,2630,199,12.5,31.1,45.7,379,86,2037
541,2618,187,18.1,28.0,53.7,307,230,1884
542,2795,193,14.8,31.6,45.3,270,211,2014
543,2791,190,17.3,31.7,48.2,266,151,2075
544,2786,188,18.2,27.6,54.6,266,106,2071
545,2746,203,14.9,30.2,45.9,283,163,2021
546,2765,197,13.4,28.4,51.8,294,124,2082
547,2771,201,17.6,31.8,55.3,370,193,2031
548,2618,183,16.5,28.8,47.2,378,199,2004
549,2691,173,16.5,28.7,48.1,247,124,2021
550,2715,186,16.2,29.0,51.4,374,220,1995
551,2680,192,13.5,29.1,53.6,341,145,2083
552,2634,186,17.8,29.8,48.9,308,199,1942
553,2644,203,13.0,28.9,54.1,367,125,2004
554,2760,169,16.9,32.0,54.3,237,223,2002
555,2796,202,13.8,27.7,47.9,368,195,2142
556,2638,188,14.9,32.0,51.5,304,109,1970
557,2730,170,14.9,30.0,52.3,387,117,2100
558,2635,193,13.5,30.3,51.2,267,198,2017
559,2610,179,17.1,28.7,47.9,289,85,2017
560,2732,188,14.8,32.1,54.7,240,241,1957
561,2780,198,16.3,28.9,53.2,378,214,2072
562,2696,189,14.7,30.8,54.2,362,139,2008
563,2657,198,14.9,31.6,48.8,353,229,1875
564,2635,193,13.5,27.9,52.1,284,113,2005
565,2692,203,16.8,28.1,47.5,314,104,2058
566,2722,195,13.8,28.3,54.2,235,137,2033
567,2746,202,13.5,30.6,45.4,376,112,2033
568,2666,176,15.6,29.5,55.7,234,244,1998
569,2621,178,15.2,32.5,54.5,273,131,1980
570,2753,174,17.3,31.6,47.0,360,142,1991
571,2775,186,18.0,30.5,45.8,326,173,1999
572,2604,177,15.6,32.0,52.5,268,230,1834
573,2721,204,16.1,31.9,50.8,260,98,2032
574,2633,203,15.7,27.5,55.3,340,208,1973
575,2611,198,15.1,32.2,50.3,327,164,1933
576,2789,201,13.1,28.2,50.2,289,96,2139
577,2739,191,14.0,27.5,53.2,231,222,2071
578,2733,165,14.8,28.5,53.8,334,167,2023
579,2709,202,14.0,31.8,49.7,323,231,1950
580,2774,190,17.0,29.6,53.6,353,120,2074
581,2742,195,14.0,29.0,48.8,331,110,2147
582,2768,172,17.0,29.7,52.7,271,100,2060
583,2702,186,17.3,30.6,52.5,243,116,2007
584,2762,165,17.3,31.6,50.2,383,186,1966
585,2667,179,14.7,30.5,53.0,332,232,1977
586,2673,203,12.8,31.4,46.9,356,187,1929
587,2768,198,14.2,27.7,51.6,362,134,2143
588,2772,167,14.7,30.8,55.7,252,145,2110
589,2690,190,14.9,28.5,45.2,247,98,2077
590,2785,200,18.0,29.2,55.6,300,132,2103
591,2649,194,18.1,30.4,47.9,334,204,1886
592,2618,197,14.3,32.2,53.8,295,212,1947
593,2747,181,16.7,32.3,51.2,292,161,2066
594,2717,194,17.9,31.8,50.3,296,92,2007
595,2656,179,17.3,29.6,48.9,367,77,2045
596,2667,180,14.2,29.5,53.2,317,94,2053
597,2645,195,14.4,28.6,51.3,276,123,2027
598,2651,180,16.9,31.9,47.3,281,138,1995
599,2691,174,17.2,28.1,45.9,356,232,1933
600,2738,167,17.6,29.4,48.5,377,145,2048
601,2795,197,14.2,28.6,51.3,243,209,2135
602,2722,199,12.7,29.2,54.5,274,192,2113
603,2778,198,15.3,30.9,45.1,283,172,2071
604,2683,188,16.2,28.8,51.0,290,143,2025
605,2756,186,14.7,30.0,47.3,325,168,2107
606,2671,193,13.6,28.2,51.3,288,100,2097
607,2660,200,15.1,29.4,46.6,268,196,2021
608,2645,191,15.5,32.5,54.3,362,211,1943
609,2724,184,14.0,31.8,45.5,255,116,1993
610,2665,195,17.5,28.0,53.2,296,167,1988
611,2742,181,14.6,29.6,48.9,385,125,2092
612,2766,199,13.5,31.4,48.9,360,199,2078
613,2714,170,14.8,28.9,51.9,267,117,2091
614,2686,191,16.3,30.4,54.3,248,95,1990
615,2658,185,14.4,29.0,47.9,331,144,2067
616,2799,188,17.0,30.1,50.0,272,122,2143
617,2632,180,16.5,32.2,52.7,250,128,1905
618,2626,171,12.9,31.9,51.0,236,176,1952
619,2621,171,14.1,28.3,52.2,329,154,1968
620,2788,183,15.2,28.1,50.8,273,82,2101
621,2691,185,17.7,29.8,54.6,299,215,1965
622,2778,199,13.6,30.5,51.9,374,186,2077
623,2763,199,14.4,29.2,50.9,252,188,2051
624,2705,181,13.4,27.6,50.8,264,163,2050
625,2736,165,16.6,30.0,53.3,306,77,2112
626,2674,203,13.9,27.5,49.1,335,218,2015
627,2663,175,16.8,30.7,54.1,286,142,1930
628,2760,180,15.6,31.5,51.7,299,147,2067
629,2736,182,15.0,31.8,47.0,304,103,2069
630,2758,193,14.1,30.6,47.1,234,113,2036
631,2736,166,13.6,28.0,48.0,342,77,2102
632,2638,165,15.5,29.2,48.4,357,170,1977
633,2608,186,13.0,31.3,46.6,298,175,1893
634,2720,176,13.7,31.7,54.0,233,106,2108
635,2782,180,14.8,32.4,47.7,238,125,2064
636,2797,171,15.6,32.4,50.2,309,157,2017
637,2786,167,17.0,30.2,46.3,353,238,2007
638,2692,168,17.7,28.6,46.2,341,158,1961
639,2670,202,13.2,31.4,45.1,240,223,1998
640,2721,203,13.4,31.4,47.7,357,98,2085
641,2686,205,12.9,29.3,46.7,367,102,2025
642,2659,185,18.4,31.4,53.3,342,124,1906
643,2696,187,16.8,28.8,45.4,342,218,1971
644,2778,196,13.6,28.4,48.8,349,145,2170
645,2753,200,13.5,30.2,49.9,297,213,2031
646,2600,205,15.5,31.2,54.7,388,168,1957
647,2661,185,16.8,30.8,50.9,329,123,1990
648,2727,200,13.4,28.9,49.5,312,103,2054
649,2768,169,12.8,32.2,47.0,238,126,2030
650,2649,171,12.7,30.7,49.3,355,209,1985
651,2751,181,12.8,28.6,52.9,233,128,2136
652,2620,194,17.3,27.8,51.1,336,169,2010
653,2614,204,14.1,27.7,45.8,307,94,2088
654,2732,171,13.1,28.7,49.2,279,209,2078
655,2745,205,18.2,30.3,51.1,257,238,1998
656,2772,194,16.7,29.6,46.1,276,215,2032
657,2686,175,15.7,30.5,55.3,310,215,2032
658,2683,188,15.0,30.7,54.1,312,230,1935
659,2739,178,14.8,30.3,53.2,322,190,2030
660,2701,165,16.9,32.4,51.6,362,109,2059
661,2677,165,14.3,28.6,54.4,235,145,2092
662,2730,200,15.9,30.4,46.0,347,166,1990
663,2667,188,17.8,28.7,47.8,306,98,2036
664,2745,178,16.9,31.1,53.7,274,199,2046
665,2776,201,17.4,28.0,52.1,239,222,2047
666,2799,168,18.0,29.2,54.7,341,181,2128
667,2630,179,17.0,31.7,55.2,327,88,1943
668,2610,185,15.7,28.2,50.5,286,114,1947
669,2787,190,18.3,31.3,51.3,253,131,2050
670,2700,174,13.3,27.9,51.3,242,215,2030
671,2621,190,15.5,31.4,46.4,264,198,1928
672,2724,190,16.4,28.5,51.8,364,138,2034
673,2668,192,14.4,32.1,46.0,335,183,1946
674,2648,185,14.6,30.8,53.5,273,164,1989
675,2713,204,13.4,27.7,54.0,281,170,2035
676,2786,170,13.2,27.8,55.4,267,148,2084
677,2777,172,14.3,29.9,48.7,367,129,2069
678,2733,181,15.8,30.6,55.9,234,171,2038
679,2769,198,12.8,28.4,48.1,388,144,2072
680,2767,165,12.9,30.8,52.3,322,102,2051
681,2766,189,13.9,29.4,55.7,255,155,2092
682,2752,199,13.0,28.5,55.6,373,80,2087
683,2735,184,14.5,29.5,46.7,318,165,2042
684,2677,180,18.5,32.4,48.0,245,235,1877
685,2699,166,18.2,32.2,47.5,317,175,1976
686,2622,189,15.6,30.9,54.6,288,181,1906
687,2639,192,18.3,32.0,48.6,368,108,1913
688,2635,202,15.7,31.5,54.5,309,209,1972
689,2710,174,16.4,30.3,46.7,247,217,1992
690,2784,172,13.6,31.7,46.6,237,156,2121
691,2705,191,14.3,31.2,54.0,300,113,2073
692,2627,173,13.6,31.3,51.7,298,230,1934
693,2659,203,13.9,30.9,49.0,352,109,2015
694,2754,195,16.8,29.4,54.4,355,196,1998
695,2649,179,12.7,31.3,45.2,299,180,1942
696,2771,177,17.0,27.8,55.2,342,232,2058
697,2683,194,17.8,29.6,53.5,385,172,2016
698,2700,204,18.1,30.4,50.9,239,208,1923
699,2716,167,17.8,28.7,50.9,240,217,1992
700,2795,205,18.3,28.4,49.8,307,148,2095
701,2708,183,16.2,27.8,50.7,266,193,2077
702,2715,170,16.8,28.1,53.6,369,109,2063
703,2682,193,12.6,29.8,54.9,281,191,1969
704,2682,175,16.8,28.1,46.3,345,237,1970
705,2734,189,16.9,32.4,51.7,270,171,1999
706,2611,175,18.0,30.3,52.3,268,116,1996
707,2645,168,15.0,29.0,53.5,344,148,2019
708,2630,173,18.3,27.5,53.4,233,192,1967
709,2727,199,17.3,30.5,50.4,285,225,2005
710,2716,191,15.2,30.5,45.1,370,146,2049
711,2742,178,12.8,28.2,52.2,239,112,2167
712,2770,201,17.5,29.0,55.1,242,102,2091
713,2645,175,16.5,30.6,52.6,382,221,1966
714,2645,194,17.0,29.3,45.4,306,157,1963
715,2697,169,17.1,31.7,45.7,350,109,1960
716,2670,186,15.7,30.1,52.7,386,89,1984
717,2786,205,15.7,27.9,53.0,384,148,2112
718,2681,181,15.7,32.5,48.9,263,232,1939
719,2733,205,15.5,31.5,54.7,289,149,2086
720,2600,172,12.6,30.6,46.3,283,232,1984
721,2705,167,14.5,30.3,52.0,232,238,1953
722,2672,181,17.2,29.0,50.6,312,76,1997
723,2685,186,14.9,30.3,55.6,274,124,2007
724,2686,195,18.0,31.5,52.1,353,114,2006
725,2737,186,15.3,31.6,55.2,244,208,1978
726,2785,185,15.8,27.6,51.4,314,165,2063
727,2638,182,17.5,29.2,49.1,366,117,2000
728,2699,176,16.1,31.8,53.3,310,83,1999
729,2622,196,17.8,29.4,54.1,307,130,1971
730,2644,172,14.7,27.7,47.2,253,188,2006
731,2723,197,13.4,29.2,50.3,364,154,2103
732,2636,171,17.4,32.2,52.4,263,127,1968
733,2717,189,16.8,30.1,45.0,241,227,2032
734,2685,194,17.8,28.0,53.4,309,80,2070
735,2679,205,17.9,29.1,47.1,300,211,1952
736,2712,172,14.1,28.3,46.3,389,218,2039
737,2652,199,14.6,29.1,46.6,302,221,1944
738,2618,184,16.2,29.2,49.9,263,82,2001
739,2772,168,13.1,27.8,49.7,275,227,2140
740,2761,193,16.2,29.1,54.0,366,95,2163
741,2793,194,15.9,28.0,53.8,349,99,2142
742,2775,194,15.3,32.2,46.6,387,141,2104
743,2700,176,16.7,30.8,53.7,313,191,1982
744,2616,195,13.2,29.9,54.3,302,164,1988
745,2632,197,13.1,31.6,53.8,313,217,1954
746,2677,199,15.3,30.5,47.6,292,215,1929
747,2723,189,12.9,28.5,52.6,340,186,2076
748,2687,199,16.7,28.4,52.4,376,199,1959
749,2752,194,14.5,28.0,49.9,308,178,2037
750,2627,203,17.1,29.4,50.4,245,98,1959
751,2635,202,17.9,30.7,45.0,267,244,1858
752,2736,183,14.8,30.4,47.2,311,151,2060
753,2773,184,18.0,32.2,52.9,318,97,2064
754,2756,197,14.9,28.1,48.2,324,215,2124
755,2600,200,17.4,29.3,54.5,237,135,1945
756,2751,190,16.3,31.1,49.5,341,214,1974
757,2644,195,13.3,30.3,54.3,322,181,1940
758,2771,173,13.3,27.9,45.2,354,243,2074
759,2634,170,13.3,31.5,54.5,384,183,1969
760,2716,197,15.0,31.6,49.2,287,122,2022
761,2601,201,15.5,31.2,52.8,298,180,1969
762,2747,188,12.7,27.7,50.3,324,103,2151
763,2776,170,13.4,31.2,55.8,301,194,2061
764,2733,204,13.0,29.9,53.2,249,237,2033
765,2748,184,16.2,32.0,50.9,232,195,1998
766,2720,201,16.9,29.6,55.6,305,149,1996
767,2777,203,17.0,31.1,51.2,245,236,2009
768,2643,201,12.8,32.5,53.9,389,81,1976
769,2621,173,15.5,31.8,48.1,263,232,1872
770,2665,165,16.9,30.5,55.0,268,243,1928
771,2644,181,17.2,28.7,47.0,365,83,2004
772,2621,174,16.1,31.6,54.2,335,173,1895
773,2712,205,13.5,30.4,54.3,243,239,1972
774,2629,168,13.5,29.5,48.3,366,134,1989
775,2780,189,15.3,28.2,54.6,233,148,2166
776,2714,189,16.6,32.3,52.5,240,99,2068
777,2763,187,18.2,29.7,55.1,299,160,2023
778,2625,181,16.4,29.5,53.5,291,225,1965
779,2733,186,16.6,32.5,48.4,232,77,2080
780,2603,191,13.1,28.0,49.9,286,147,1974
781,2608,166,16.2,27.8,51.5,285,228,1961
782,2781,172,13.0,30.5,49.1,374,122,2160
783,2778,176,14.0,29.8,55.3,346,145,2134
784,2777,185,14.0,31.4,48.1,245,172,2050
785,2615,181,18.2,28.8,49.8,355,126,1983
786,2645,196,13.2,30.2,49.7,387,239,1908
787,2713,181,13.1,27.9,51.3,294,189,2009
788,2727,174,16.4,27.5,45.4,329,143,2038
789,2684,190,15.9,30.1,55.3,355,197,1978
790,2786,169,15.7,27.5,55.5,353,106,2156
791,2691,186,16.6,29.5,52.0,253,168,2013
792,2687,170,17.5,31.3,48.2,281,120,2002
793,2698,177,14.3,29.5,46.2,321,199,1967
794,2761,193,16.9,28.2,47.1,381,136,2093
795,2616,199,16.4,30.0,55.6,345,79,1935
796,2614,186,17.2,27.7,46.3,363,192,2014
797,2737,174,16.9,28.7,45.8,266,200,2055
798,2720,204,12.8,31.0,46.4,274,236,1950
799,2678,171,15.2,28.4,51.5,257,104,2058
800,2757,179,12.9,28.5,48.7,332,158,2062
801,2775,201,15.8,29.1,55.6,284,86,2136
802,2685,169,13.2,28.2,49.6,324,216,1986
803,2662,202,12.7,28.0,54.3,386,171,2072
804,2604,196,13.0,27.5,55.2,381,147,2002
805,2797,195,16.7,28.5,52.0,363,190,2081
806,2644,204,16.7,30.5,52.9,386,97,2008
807,2800,184,14.6,27.5,47.6,260,210,2172
808,2758,188,17.7,32.4,50.6,348,235,1992
809,2670,168,13.7,31.5,52.5,351,202,1930
810,2771,167,12.8,29.3,47.3,294,160,2120
811,2794,194,12.8,31.2,55.2,275,115,2151
812,2724,197,13.2,32.0,52.9,381,223,1975
813,2650,185,13.9,28.1,47.5,290,180,2059
814,2696,179,12.9,30.4,45.6,341,112,2022
815,2756,194,13.6,29.4,50.0,279,236,2032
816,2669,177,14.5,27.7,51.3,301,109,2019
817,2719,194,15.0,31.3,47.4,305,229,1944
818,2763,204,17.9,30.4,51.1,288,97,2063
819,2733,196,17.7,28.6,50.2,348,146,1997
820,2709,180,14.0,29.7,47.4,381,113,2117
821,2601,191,18.4,27.7,50.2,359,83,1987
822,2700,195,17.4,31.0,46.1,356,136,1952
823,2792,165,16.7,29.5,47.4,321,150,2061
824,2623,166,15.4,29.0,52.7,376,224,1889
825,2716,194,17.1,31.9,49.5,324,235,1949
826,2762,165,17.7,27.9,54.8,315,210,2000
827,2709,182,16.7,30.6,51.3,283,95,2056
828,2685,168,15.6,32.1,49.0,243,103,1991
829,2719,204,12.7,29.3,52.1,247,218,2064
830,2652,173,18.4,28.7,46.2,352,223,1994
831,2779,178,17.0,31.3,48.5,298,203,2048
832,2670,168,12.9,29.2,50.3,364,106,2054
833,2736,199,17.9,29.8,49.0,246,123,2097
834,2717,170,13.0,32.0,48.2,249,102,2012
835,2628,174,15.5,31.9,50.7,390,80,1953
836,2774,199,18.1,29.9,49.6,235,149,2025
837,2605,179,17.5,30.1,48.7,378,162,1949
838,2683,196,16.1,31.0,54.3,343,192,1948
839,2633,184,13.5,28.8,50.3,303,87,1999
840,2672,194,18.2,30.6,46.8,367,148,1937
841,2644,174,13.5,28.1,55.9,377,107,2042
842,2694,176,13.7,31.0,52.3,318,112,2024
843,2738,175,15.7,28.1,45.3,357,112,2154
844,2681,174,12.5,31.2,55.7,314,240,1997
845,2721,183,18.3,31.3,55.9,267,219,1992
846,2713,186,16.6,31.2,54.9,265,216,1929
847,2606,190,16.2,28.6,48.9,313,89,2014
848,2649,202,15.7,31.4,53.4,280,80,1950
849,2714,170,18.4,29.5,50.4,384,229,1982
850,2614,188,14.9,31.1,49.7,328,170,1881
851,2688,187,14.3,29.7,51.2,285,188,2041
852,2706,193,14.2,31.5,55.7,338,181,1959
853,2750,203,13.0,28.5,50.2,364,160,2048
854,2751,189,13.0,29.5,55.1,336,119,2113
855,2781,201,17.0,28.2,47.0,327,149,2108
856,2610,184,17.5,29.0,51.2,348,132,1909
857,2600,174,14.1,32.3,54.2,350,106,1968
858,2673,191,13.6,32.0,52.1,237,105,2045
859,2726,169,16.1,29.3,50.3,341,141,2071
860,2721,172,14.7,31.2,45.2,296,116,2056
861,2637,185,15.3,31.0,48.9,243,144,1951
862,2762,187,12.8,29.0,52.0,249,206,2044
863,2760,176,17.1,30.5,46.8,312,155,2087
864,2775,184,14.1,31.0,49.0,366,223,2024
865,2636,165,13.3,28.9,53.6,335,162,2056
866,2641,171,13.8,30.0,54.1,373,232,1977
867,2734,199,16.8,31.0,53.8,336,192,2055
868,2629,173,18.0,29.9,48.4,322,110,2012
869,2752,198,17.1,29.2,52.8,237,105,2053
870,2777,174,16.6,29.0,47.3,250,183,2096
871,2800,172,13.0,31.4,53.3,240,125,2065
872,2768,197,16.1,29.8,55.0,241,91,2080
873,2602,171,17.2,32.1,47.3,281,122,1941
874,2607,170,13.4,31.2,48.1,378,164,1930
875,2728,204,14.0,30.4,46.1,378,78,2092
876,2783,177,18.3,28.4,53.3,231,100,2165
877,2729,195,14.7,30.4,49.8,257,121,2102
878,2697,192,13.8,28.6,46.2,310,106,2076
879,2733,173,15.5,29.3,48.2,240,96,2067
880,2629,189,14.2,30.5,48.4,343,132,1991
881,2674,192,13.6,27.8,54.3,351,169,2006
882,2772,196,16.5,29.5,50.7,251,105,2059
883,2702,202,18.4,31.2,54.8,273,91,1999
884,2650,186,13.7,31.7,49.4,289,183,1987
885,2671,202,16.1,31.3,53.8,332,166,1969
886,2754,190,18.4,30.1,46.6,346,102,2020
887,2725,196,13.9,32.2,45.3,243,92,2053
888,2606,176,14.8,30.9,46.7,389,234,1857
889,2619,198,17.1,31.5,47.2,357,200,1905
890,2738,186,17.4,30.2,45.2,238,185,2064
891,2630,189,15.2,31.8,49.9,239,83,1943
892,2768,184,17.8,28.3,49.7,309,174,2070
893,2628,201,16.6,30.8,52.5,376,195,1925
894,2640,197,12.8,28.8,51.5,326,232,2000
895,2796,183,14.4,27.6,45.5,323,164,2172
896,2749,166,17.1,30.6,49.2,339,163,2093
897,2705,187,12.8,28.7,47.6,309,226,1983
898,2776,169,17.7,28.1,46.9,367,158,2034
899,2768,192,15.9,32.0,47.9,350,225,1948
900,2681,189,15.9,29.1,46.1,355,100,2069
901,2652,186,15.5,31.6,52.3,272,232,1900
902,2711,177,15.5,31.7,53.7,367,129,1993
903,2612,184,18.5,29.5,47.5,253,223,1858
904,2686,182,12.9,31.5,50.2,283,163,2042
905,2766,184,15.5,29.0,52.3,310,126,2092
906,2664,204,15.6,30.9,51.0,234,235,1966
907,2647,201,15.5,30.8,54.1,349,143,2030
908,2736,204,17.6,32.0,55.3,390,90,2038
909,2693,194,13.4,28.3,52.5,306,186,2034
910,2616,205,13.7,29.6,54.1,271,140,2010
911,2660,190,13.9,28.2,45.3,309,193,2012
912,2711,192,16.4,27.7,46.8,264,82,2066
913,2671,200,13.6,31.8,55.6,354,80,1974
914,2621,185,16.1,31.8,54.9,334,168,1946
915,2623,190,18.2,31.1,46.5,258,221,1922
916,2630,198,16.5,30.4,53.5,364,139,1964
917,2623,180,16.1,31.4,48.4,379,174,1967
918,2790,180,18.1,28.6,46.2,284,145,2088
919,2665,202,12.8,30.2,52.7,258,156,2020
920,2721,180,18.3,31.9,55.3,322,196,1993
921,2678,166,16.4,32.0,45.4,243,136,1949
922,2698,184,16.3,31.0,54.9,261,211,2016
923,2713,189,12.5,32.3,55.2,295,152,1975
924,2793,180,14.3,31.8,46.8,342,236,2013
925,2796,191,17.2,28.9,45.9,355,195,2106
926,2685,192,17.8,31.6,54.1,296,204,1893
927,2707,203,16.9,30.2,48.6,237,88,2065
928,2647,205,15.2,30.7,45.0,281,235,1912
929,2747,170,13.2,28.7,52.8,263,227,2082
930,2681,193,15.4,31.2,47.9,381,158,2026
931,2650,170,15.0,28.4,54.6,376,132,1967
932,2605,200,16.4,30.6,55.0,348,125,1922
933,2643,168,14.9,29.6,47.9,252,169,1944
934,2745,172,12.6,30.1,53.5,346,201,2010
935,2782,178,13.6,31.8,53.6,303,201,2036
936,2710,178,16.1,32.5,48.1,278,182,1936
937,2637,166,14.2,28.8,51.8,293,169,2007
938,2765,194,13.0,29.8,54.6,331,129,2133
939,2781,192,16.9,28.8,46.0,245,88,2104
940,2660,195,17.9,32.5,55.3,383,86,1911
941,2729,204,14.8,32.4,52.4,263,218,1928
942,2645,181,13.5,30.0,48.7,349,108,1972
943,2781,198,15.1,28.8,48.4,262,202,2126
944,2671,188,18.1,28.9,54.6,386,142,2005
945,2711,175,14.4,32.5,53.4,268,217,2014
946,2768,205,17.3,27.8,46.6,288,121,2054
947,2666,175,16.7,29.7,55.9,356,85,2020
948,2781,200,15.4,30.0,54.3,267,106,2091
949,2652,183,13.6,28.3,50.6,299,219,2043
950,2749,178,16.0,32.4,50.8,376,121,2027
951,2619,180,17.1,30.9,54.8,236,147,1962
952,2774,172,14.9,30.5,55.5,312,114,2040
953,2717,195,15.2,32.3,51.5,231,159,2058
954,2767,204,18.2,29.1,53.0,375,108,2054
955,2612,183,14.4,27.8,45.8,384,172,1941
956,2665,176,13.9,31.4,49.4,235,128,1962
957,2799,190,14.2,31.3,52.2,260,151,2089
958,2710,184,17.9,30.5,48.9,254,169,1998
959,2725,193,17.8,29.9,51.2,338,98,2084
960,2694,204,13.6,30.7,46.0,361,162,2076
961,2773,179,16.4,31.1,55.2,364,236,2031
962,2621,183,15.3,27.9,53.8,306,113,2076
963,2775,184,17.5,30.1,48.3,242,216,1980
964,2611,197,13.1,29.6,46.0,375,139,1972
965,2749,170,17.1,27.6,53.1,348,120,2135
966,2700,167,13.0,31.9,48.3,380,191,2027
967,2715,204,17.3,29.2,55.1,277,129,2007
968,2791,203,14.1,30.9,49.8,234,76,2116
969,2603,175,16.4,29.8,49.5,384,199,1900
970,2757,188,16.6,32.3,52.4,307,97,2006
971,2603,177,13.2,27.6,55.7,236,128,2016
972,2637,180,15.1,30.6,53.7,278,97,1975
973,2718,174,15.3,27.6,46.8,269,188,2113
974,2720,166,17.7,30.4,47.2,375,175,1951
975,2602,171,16.3,31.1,55.8,356,223,1904
976,2741,183,12.7,29.5,50.6,386,199,2029
977,2615,198,12.6,30.4,51.1,298,240,1924
978,2721,172,15.5,32.2,48.8,341,80,2003
979,2785,177,15.3,29.7,50.6,380,161,2140
980,2783,194,13.3,29.0,52.8,336,242,2103
981,2720,175,16.2,28.9,53.2,353,108,2033
982,2640,203,15.5,31.5,55.4,356,152,1925
983,2742,168,18.5,29.3,47.9,270,119,2098
984,2728,167,17.3,29.2,46.3,288,105,2074
985,2724,181,18.5,31.4,53.5,372,143,2050
986,2776,197,16.1,28.0,45.6,342,192,2142
987,2793,172,18.3,31.4,51.7,256,218,1963
988,2626,175,16.3,31.9,55.0,270,149,1961
989,2795,197,15.5,31.9,46.7,323,160,2102
990,2631,177,15.1,29.6,53.5,292,196,1941
991,2729,175,13.0,29.4,53.3,322,236,2053
992,2638,198,15.0,28.6,53.8,335,179,2037
993,2732,188,18.2,29.7,53.5,362,92,2012
994,2680,190,18.4,28.3,45.7,239,244,2017
995,2638,201,12.8,30.7,52.8,363,150,1980
996,2774,200,17.7,31.1,48.5,318,77,2123
997,2735,204,18.0,31.0,49.9,282,214,2000
998,2758,193,16.7,31.9,53.6,333,125,2089
999,2621,167,15.7,29.4,52.9,262,208,2004
1000,2672,178,13.1,30.3,50.7,270,80,1998
